2022-04-01 17:58:00.295 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 85 ms
2022-04-01 17:58:00.382 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2022-04-01 17:58:00.390 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9090"]
2022-04-01 17:58:00.391 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9090 (http) with context path ''
2022-04-01 17:58:00.393 [restartedMain] INFO  com.netdisk.DriveSpringbootApplication - Started DriveSpringbootApplication in 0.214 seconds (JVM running for 277.955)
2022-04-01 17:58:00.394 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2022-04-01 17:58:02.198 [http-nio-9090-exec-2] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-04-01 17:58:02.199 [http-nio-9090-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-04-01 17:58:02.201 [http-nio-9090-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2022-04-01 17:58:46.465 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2022-04-01 17:58:47.992 [restartedMain] INFO  com.netdisk.DriveSpringbootApplication - Starting DriveSpringbootApplication using Java 11.0.14.1 on STARdeAir.lan with PID 32015 (/Users/star_wyx/coding/drive_springboot/target/classes started by star_wyx in /Users/star_wyx/coding/drive_springboot)
